"281","OR","Gresham",,"90205","45.5","-122.44"
"282","CA","Vista",,"89857","33.19","-117.24"
"283","MT","Billings",,"89847","45.79","-108.54"
"284","CA","Carson",,"89730","33.84","-118.26"
"285","MA","Lynn",,"89050","42.47","-70.96"
"286","FL","Port St. Lucie",,"88769","27.28","-80.36"
"287","CA","Vacaville",,"88625","38.35","-121.97"
"288","TX","San Angelo",,"88439","31.45","-100.45"
"289","UT","Sandy",,"88418","40.57","-111.86"
"290","MD","Columbia",,"88254","39.2","-76.86"
"291","CA","Westminster",,"88207","33.75","-117.99"
"292","MA","Quincy",,"88025","42.26","-71.01"
"293","FL","Miami Beach",,"87933","25.81","-80.13"
"294","IL","Waukegan",,"87901","42.37","-87.86"
"295","MN","Duluth",,"86918","46.78","-92.12"
"296","TX","Killeen",,"86911","31.11","-97.73"
"297","NH","Nashua",,"86605","42.75","-71.48"
"298","MI","Westland",,"86602","42.32","-83.38"
"299","NJ","Toms River",,"86327","39.98","-74.17"
"300","NC","High Point",,"85839","35.97","-80"
"301","RI","Warwick",,"85808","41.72","-71.42"
"302","MN","Rochester",,"85806","44.03","-92.47"
"303","CA","Alhambra",,"85804","34.08","-118.14"
"304","GA","Sandy Springs",,"85781","33.94","-84.37"
"305","FL","Sunrise",,"85779","26.16","-80.29"
"306","OH","Parma",,"85655","41.39","-81.73"
"307","IL","Cicero",,"85616","41.85","-87.76"
"308","NJ","Trenton",,"85403","40.22","-74.76"
"309","MN","Bloomington",,"85172","44.83","-93.31"
"310","CA","Citrus Heights",,"85071","38.69","-121.29"
"311","IA","Sioux City",,"85013","42.5","-96.4"
"312","MO","Columbia",,"84531","38.95","-92.33"
"313","UT","Orem",,"84324","40.3","-111.7"
"314","CA","Hawthorne",,"84112","33.92","-118.35"
"315","CA","Santa Monica",,"84084","34.02","-118.48"
"316","MA","Newton",,"83829","42.34","-71.21"
"317","CA","Whittier",,"83680","33.97","-118.02"
"318","TX","Tyler",,"83650","32.33","-95.3"
"319","WA","Federal Way",,"83259","47.31","-122.34"
"320","IN","Hammond",,"83048","41.61","-87.49"
"321","CT","Norwalk",,"82951","41.11","-73.42"
"322","FL","Plantation",,"82934","26.12","-80.25"
"323","CO","Thornton",,"82384","39.9","-104.95"
"324","MI","Farmington Hills",,"82111","42.49","-83.38"
