15,"city","Lackland City"
15,"city","Lackland Heights"
15,"city","Lackland Terrace"
15,"city","Leon Springs"
15,"city","Leon Valley"
15,"city","Live Oak"
15,"city","Longhorn"
15,"city","Luxello"
15,"city","Macdona"
15,"city","North Loop"
15,"city","Oak Island"
15,"city","Oakland Estates"
15,"city","Olmos Park"
15,"city","Palo Alto Heights"
15,"city","Palo Alto Park"
15,"city","Phoenix"
15,"city","Robards"
15,"city","Saint Hedwig"
15,"city","Salado Junction"
15,"city","San Antonio"
15,"city","San Jose"
15,"city","Scenic Oaks"
15,"city","Selma"
15,"city","Shavano Park"
15,"city","Shorts Corner"
15,"city","Somerset"
15,"city","Southton"
15,"city","Terrell Hills"
15,"city","Terrell Wells"
15,"city","Timberwood Park"
15,"city","Universal City"
15,"city","Valley Hi"
15,"city","Von Ormy"
15,"city","Westwood Village"
15,"city","Wetmore"
15,"city","Windcrest"
15,"city","Withers"
15,"town","Adkins"
15,"town","Atascosa"
15,"town","Friendly Corner"
15,"town","Lone Oak"
15,"town","Losoya"
15,"town","Mann Crossing"
15,"town","Martinez"
15,"town","San Geronimo"
15,"town","Sayers"
15,"town","Specht Store"
15,"town","Thelma"
15,"town","Van Raub"
16,"county","Blanco"
16,"city","Blanco"
16,"city","Johnson City"
16,"city","Round Mountain"
16,"town","Blowout"
16,"town","Cypress Mill"
16,"town","Flugrath"
16,"town","Hye"
16,"town","Payton"
16,"town","Post Oak"
16,"town","Sandy"
16,"town","Twin Sisters"
17,"county","Borden"
17,"city","Gail"
17,"town","Mesquite"
17,"town","Plains"
18,"county","Bosque"
18,"city","Clifton"
18,"city","Cranfills Gap"
18,"city","Iredell"
18,"city","Laguna Park"
18,"city","Meridian"
18,"city","Morgan"
18,"city","Valley Mills"
18,"city","Walnut Springs"
18,"town","Bosque"
18,"town","Brazos Point"
18,"town","Cayote"
18,"town","Cedar Shores"
18,"town","Crossroad Store"
18,"town","Eulogy"
18,"town","Greenock"
18,"town","Kopperl"
18,"town","Lakeside Village"
18,"town","Lakewood Harbor"
18,"town","Mosheim"
18,"town","Norse"
18,"town","Pendell"
18,"town","Rock Springs"
18,"town","Smiths Bend"
18,"town","Womack"
19,"county","Bowie"
19,"city","Boston"
19,"city","De Kalb"
19,"city","Hooks"
19,"city","Leary"
19,"city","Maud"
19,"city","Nash"
19,"city","New Boston"
19,"city","Red Lick"
19,"city","Redwater"
19,"city","South Texarkana"
19,"city","Texarkana"
19,"city","Victory City"
19,"city","Wake Village"
19,"town","Barkman"
19,"town","Bassett"
19,"town","Beaverdam"
19,"town","Burns"
19,"town","Carbondale"
19,"town","College Hill"
19,"town","Corley"
19,"town","Dalby Springs"
19,"town","Darden"
19,"town","Eylau"
19,"town","Garland"
19,"town","Hartman"
19,"town","Hodgson"
19,"town","Hoot"
19,"town","Hubbard"
19,"town","Malta"
19,"town","New Hope"
19,"town","Oak Grove"
19,"town","Old Boston"
19,"town","Old Salem"
19,"town","Old Union"
19,"town","Pine Springs"
19,"town","Red Bank"
19,"town","Red Springs"
19,"town","Redbank"
19,"town","Siloam"
19,"town","Simms"
19,"town","Smith Hill"
19,"town","Spring Hill"
19,"town","Sulphur"
19,"town","Tuckers Corner"
19,"town","Wamba"
19,"town","Ward Creek"
19,"town","Whaley"
19,"town","Whatley"
19,"town","Woodstock"
20,"county","Brazoria"
20,"city","Alvin"
20,"city","Angleton"
20,"city","Bailey Prairie"
20,"city","Bonney"
20,"city","Brazoria"
20,"city","Brookside Village"
20,"city","Bryan Beach"
20,"city","Clute"
20,"city","Damon"
20,"city","Danbury"
20,"city","Freeport"
20,"city","Hastings"
20,"city","Hillcrest"
20,"city","Holiday Lakes"
20,"city","Iowa Colony"
20,"city","Jones Creek"
20,"city","Lake Barbara"
20,"city","Lake Jackson"
20,"city","Liverpool"
20,"city","Manvel"
20,"city","Old Brazoria"
20,"city","Oyster Creek"
20,"city","Pearland"
20,"city","Perry Landing"
20,"city","Quintana"
20,"city","Quintana Beach"
20,"city","Richwood"
20,"city","Rosharon"
20,"city","Ross"
20,"city","Surfside"
20,"city","Surfside Beach"
20,"city","Sweeny"
20,"city","Velasco"
20,"city","Velasco Heights"
20,"city","West Columbia"
20,"city","Wild Peach Village"
20,"town","Abercrombie"
20,"town","Alexander Landing"
20,"town","Banbury Cross"
20,"town","Bastrop Beach"
20,"town","Brazosport"
20,"town","Chenango"
20,"town","China Grove"
20,"town","Chocolate Bayou"
20,"town","Chocolate Springs"
20,"town","Churchill"
20,"town","Cobblestone"
20,"town","Country Place"
20,"town","Danciger"
20,"town","Dixie Hollow"
20,"town","East Columbia"
20,"town","El Bernardo"
20,"town","English"
20,"town","Fairway Village"
20,"town","Four Corners"
20,"town","Garden Acres"
20,"town","Gulf Park"
20,"town","Hasima"
20,"town","Heritage Green"
20,"town","Hickory Creek Place"
20,"town","Hinkles Ferry"
20,"town","Lake Jackson Farms"
20,"town","Lakepointe"
20,"town","Lakes of Country Place"
20,"town","Linwood"
20,"town","Lochridge"
20,"town","Magnolia Place"
20,"town","Meadowview"
20,"town","Midway"
20,"town","Mims"
20,"town","Oakbrook Estates"
20,"town","Oakland"
20,"town","Old Ocean"
20,"town","Orozimbo"
20,"town","Otey"
20,"town","Parkview"
20,"town","Peterson Landing"
20,"town","Pineshadows"
20,"town","Port Morris"
20,"town","Ravenwood Estates"
20,"town","Regal Oaks"
20,"town","Regency Park"
20,"town","Rustic Oaks"
20,"town","Ryan Acres"
20,"town","Sandy Point"
20,"town","Sedgewood"
20,"town","Shadycrest"
20,"town","Sherwood"
20,"town","Sleepy Hollow"
20,"town","Snipe"
20,"town","Southdown"
20,"town","Southwyck"
20,"town","Turner"
20,"town","Van Pelt"
20,"town","Waterbury"
20,"town","West Lea"
20,"town","West Oaks"
20,"town","West Oaks Village"
20,"town","Westchester Estates"
20,"town","Westminster"
20,"town","Westwood Village"
20,"town","Wild Peach"
20,"town","Woodcreek"
21,"county","Brazos"
21,"city","Boonville"
21,"city","Bryan"
21,"city","College Station"
21,"city","Harvey"
21,"city","Koppe"
21,"city","Kurten"
21,"city","Millican"
21,"city","Moore"
21,"city","Spear"
21,"city","Wixon Valley"
21,"town","Allenfarm"
21,"town","Cawthon"
21,"town","Channey Crossing"
